epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,659.53,0.00961,1.58312,1.27651,0.73041,0.57194,0.59692,0.43016,0.00726,1.05657,1.19684,0.00333225,0.00333225,0.00333225
2,4736.14,0.00901,1.07638,1.17525,0.76577,0.59611,0.64329,0.4561,0.00734,1.00537,1.18281,0.00666396,0.00666396,0.00666396
3,10572.7,0.00913,1.04278,1.17951,0.74232,0.59271,0.62555,0.43334,0.00753,0.9842,1.2113,0.00998915,0.00998915,0.00998915
4,11189,0.00903,0.97903,1.17676,0.77377,0.6612,0.69754,0.4959,0.00713,0.83823,1.18213,0.00997803,0.00997803,0.00997803
5,17060.7,0.00874,0.90657,1.15598,0.75375,0.7168,0.7521,0.54301,0.00682,0.78122,1.15107,0.00996097,0.00996097,0.00996097
6,23264.6,0.00856,0.86174,1.1462,0.83008,0.73812,0.78245,0.57477,0.00662,0.69299,1.13858,0.00993906,0.00993906,0.00993906
7,30166.7,0.00841,0.82968,1.13519,0.80155,0.75932,0.81272,0.60193,0.00652,0.66881,1.12869,0.00991232,0.00991232,0.00991232
8,32598.6,0.00827,0.80377,1.12432,0.78861,0.76288,0.81897,0.61073,0.00642,0.64285,1.12256,0.00988079,0.00988079,0.00988079
9,34271.3,0.00824,0.79511,1.12402,0.85071,0.74089,0.8248,0.62499,0.00632,0.62516,1.11298,0.00984449,0.00984449,0.00984449
10,35467,0.00819,0.78357,1.12,0.85684,0.7787,0.84467,0.63658,0.00625,0.61496,1.10864,0.00980345,0.00980345,0.00980345
11,38632.9,0.00809,0.77048,1.11398,0.84291,0.77866,0.84184,0.65126,0.00617,0.59377,1.09905,0.00975773,0.00975773,0.00975773
12,41429.5,0.00805,0.75905,1.11058,0.85834,0.7868,0.84899,0.65273,0.00613,0.58029,1.09789,0.00970736,0.00970736,0.00970736
13,44368,0.008,0.75005,1.10822,0.85777,0.77985,0.85352,0.66178,0.00609,0.57346,1.09526,0.00965239,0.00965239,0.00965239
14,50793.8,0.00797,0.74487,1.1092,0.85327,0.80636,0.85949,0.66787,0.00606,0.56635,1.09345,0.00959289,0.00959289,0.00959289
15,51392.8,0.00798,0.7445,1.10703,0.84633,0.8104,0.8579,0.67018,0.00605,0.56109,1.08997,0.00952889,0.00952889,0.00952889
16,55477.1,0.00791,0.73344,1.10182,0.83736,0.81902,0.86443,0.6751,0.00602,0.55536,1.08755,0.00946048,0.00946048,0.00946048
17,56102.8,0.00786,0.72479,1.09905,0.84145,0.82486,0.86822,0.67864,0.006,0.55114,1.08559,0.00938772,0.00938772,0.00938772
18,56678.1,0.00785,0.72357,1.09813,0.83497,0.83278,0.86867,0.67969,0.00599,0.54661,1.08394,0.00931067,0.00931067,0.00931067
19,57254.9,0.00784,0.71569,1.09516,0.83763,0.83494,0.86893,0.6801,0.00598,0.54451,1.08273,0.00922942,0.00922942,0.00922942
20,58820.8,0.00783,0.71707,1.09626,0.85472,0.82939,0.87193,0.68356,0.00596,0.54234,1.08135,0.00914405,0.00914405,0.00914405
21,61403.8,0.00778,0.70939,1.09484,0.85079,0.831,0.87244,0.68537,0.00595,0.54069,1.08034,0.00905463,0.00905463,0.00905463
22,65603.9,0.00782,0.71208,1.09507,0.85726,0.82485,0.87412,0.68589,0.00594,0.53895,1.07996,0.00896127,0.00896127,0.00896127
23,69811.9,0.00777,0.703,1.09458,0.86099,0.82719,0.87636,0.68727,0.00594,0.53769,1.07942,0.00886404,0.00886404,0.00886404
